Country,"Ethnic Fractionalization","Linguistic Fractionalization","Religious Fractionalization"
 Afghanistan,0.769300,0.614100,0.271700
 Albania,0.220400,0.039900,0.471900
 Algeria,0.339400,0.442700,0.009100
 American Samoa,0.000000,0.173300,0.639500
 Andorra,0.713900,0.684800,0.232600
 Angola,0.786700,0.787000,0.627600
 Antigua and Barbuda,0.164300,0.106300,0.684000
 Argentina,0.255000,0.061800,0.223600
 Armenia,0.127200,0.129100,0.457600
 Aruba,0.000000,0.388900,0.410700
 Australia,0.092900,0.334900,0.821100
 Austria,0.106800,0.152200,0.414600
 Azerbaijan,0.204700,0.205400,0.489900
 Bahamas,0.422800,0.185500,0.681500
 Bahrain,0.502100,0.434400,0.552800
 Bangladesh,0.045400,0.092500,0.209000
 Barbados,0.142300,0.092600,0.693400
 Belarus,0.322200,0.466600,0.611600
 Belgium,0.555400,0.540900,0.212700
 Belize,0.701500,0.630300,0.581300
 Benin,0.787200,0.790500,0.554400
 Bermuda,0.000000,0.000000,0.711200
 Bhutan,0.605000,0.605600,0.378700
 Bolivia,0.739600,0.224000,0.208500
 Bosnia and Herzegovina,0.630000,0.675100,0.685100
 Botswana,0.410200,0.411000,0.598600
 Brazil,0.540800,0.046800,0.605400
 Brunei,0.541600,0.343800,0.440400
 Bulgaria,0.402100,0.303100,0.596500
 Burkina Faso,0.737700,0.722800,0.579800
 Burundi,0.295100,0.297700,0.515800
 Cambodia,0.210500,0.210400,0.096500
 Cameroon,0.863500,0.889800,0.733800
 Canada,0.712400,0.577200,0.695800
 Cape Verde,0.417400,0.000000,0.076600
 Central African Republic,0.829500,0.833400,0.791600
 Chad,0.862000,0.863500,0.641100
 Chile,0.186100,0.187100,0.384100
 China,0.153800,0.132700,0.664300
 Colombia,0.601400,0.019300,0.147800
 Comoros,0.000000,0.010300,0.013700
 DR Congo,0.874700,0.870500,0.702100
 Congo,0.874700,0.687100,0.664200
 Costa Rica,0.236800,0.048900,0.241000
 Ivory Coast,0.820400,0.784200,0.755100
 Croatia,0.369000,0.076300,0.444700
 Cuba,0.590800,0.000000,0.505900
 Cyprus,0.093900,0.396200,0.396200
 Czech Republic,0.322200,0.323300,0.659100
 Denmark,0.081900,0.104900,0.233300
 Djibouti,0.796200,0.655800,0.043500
 Dominica,0.200300,0.000000,0.462800
 Dominican Republic,0.429400,0.039500,0.311800
 East Timor,0.000000,0.526100,0.425400
 Ecuador,0.655000,0.130800,0.141700
 Egypt,0.183600,0.023700,0.197900
 El Salvador,0.197800,0.000000,0.355900
 Equatorial Guinea,0.346700,0.322000,0.119500
 Eritrea,0.652400,0.653000,0.425300
 Estonia,0.506200,0.494400,0.498500
 Ethiopia,0.723500,0.807300,0.624900
 Faroe Islands,0.000000,0.000000,0.314700
 Fiji,0.547900,0.547900,0.568200
 Finland,0.131500,0.141200,0.253100
 France,0.103200,0.122100,0.402900
 French Guiana,0.000000,0.115400,0.495900
 French Polynesia,0.000000,0.607800,0.581300
 Gabon,0.769000,0.782100,0.667400
 Gambia,0.786400,0.807600,0.097000
 Gaza Strip,0.000000,0.010400,0.034200
 Georgia,0.492300,0.474900,0.654300
 Germany,0.168200,0.164200,0.657100
 Ghana,0.673300,0.673100,0.798700
 Greece,0.157600,0.030000,0.153000
 Greenland,0.000000,0.218800,0.459200
 Grenada,0.266100,0.000000,0.589800
 Guadeloupe,0.000000,0.093300,0.306900
 Guam,0.000000,0.732000,0.408200
 Guatemala,0.512200,0.458600,0.375300
 Guinea,0.738900,0.772500,0.264900
 Guinea-Bissau,0.808200,0.814100,0.612800
 Guyana,0.619500,0.068800,0.787600
 Haiti,0.095000,0.000000,0.470400
 Honduras,0.186700,0.055300,0.235700
 Hong Kong,0.062000,0.212800,0.419100
 Hungary,0.152200,0.029700,0.524400
 Iceland,0.079800,0.082000,0.191300
 India,0.418200,0.806900,0.326000
 Indonesia,0.735100,0.768000,0.234000
 Iran,0.668400,0.746200,0.115200
 Iraq,0.368900,0.369400,0.484400
 Ireland,0.120600,0.031200,0.155000
 Isle of Man,0.000000,0.000000,0.472900
 Israel,0.343600,0.552500,0.346900
 Italy,0.114500,0.114700,0.302700
 Jamaica,0.412900,0.109800,0.616000
 Japan,0.011900,0.017800,0.540600
 Jersey,0.000000,0.000000,0.547900
 Jordan,0.592600,0.039600,0.065900
 Kazakhstan,0.617100,0.662100,0.589800
 Kenya,0.858800,0.886000,0.776500
 Kiribati,0.051100,0.023700,0.554100
 South Korea,0.002000,0.002100,0.660400
 North Korea,0.039200,0.002800,0.489100
 Kyrgyzstan,0.675200,0.594900,0.447000
 Kuwait,0.660400,0.344400,0.674500
 Laos,0.513900,0.638200,0.545300
 Latvia,0.586700,0.579500,0.555600
 Lebanon,0.131400,0.131200,0.788600
 Lesotho,0.255000,0.254300,0.721100
 Liberia,0.908400,0.903800,0.488300
 Libya,0.792000,0.075800,0.057000
 Liechtenstein,0.572600,0.224600,0.334300
 Lithuania,0.322300,0.321900,0.414100
 Luxembourg,0.530200,0.644000,0.091100
 Macau,0.000000,0.251900,0.551100
 North Macedonia,0.502300,0.502100,0.589900
 Madagascar,0.879100,0.020400,0.519100
 Malawi,0.674400,0.602300,0.819200
 Malaysia,0.588000,0.597000,0.665700
 Mali,0.690600,0.838800,0.182000
 Malta,0.041400,0.090700,0.122300
 Marshall Islands,0.060300,0.073400,0.520700
 Martinique,0.000000,0.000000,0.233600
 Mauritania,0.615000,0.326000,0.014900
