,country,region,incgroup4,parent,child,MEANp,MEANc,SDp,SDc,CAT,DIF,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,GEI %,Gender Economic Participation and Opportunity Equality %,Gender Education Attainment Equality %,Gender Health and Survival Equality %,Gender Political Empowerment,sub-region,Political Instability Estimate,IQ,Average Income (USD),"Education expenditure
per inhabitant (USD)","Daily maximum
temperature Celsius"
0,Afghanistan,South Asia,Low income,avg,all,2.4801621,5.5824008,3.8097816,5.8577647,0.41435471,3.2032983,0.32997543,0.63310826,0.5847466,0.54255289,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
1,Afghanistan,South Asia,Low income,avg,daughter,2.9899917,4.3317313,4.0103793,5.9026852,0.28307503,1.4333878,0.17423947,0.50935423,0.44540733,0.47483027,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
2,Afghanistan,South Asia,Low income,avg,son,2.3539793,5.8919411,3.7484949,5.8061409,0.44687408,3.6417239,0.36492074,0.6640048,0.63044435,0.56389248,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
3,Afghanistan,South Asia,Low income,dad,all,3.7560487,5.5382752,5.493762,5.8420348,0.35024402,2.1102159,0.34210727,0.73178267,0.36632064,0.26078659,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
4,Afghanistan,South Asia,Low income,dad,daughter,4.5208774,4.2777681,5.8047752,5.8697367,0.23012604,0.12881845,0.18986429,0.81913972,0.2333893,0.20241588,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
5,Afghanistan,South Asia,Low income,dad,son,3.5701301,5.8446856,5.4000921,5.7949357,0.3791815,2.5875518,0.37598592,0.70786667,0.39640617,0.27986526,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
6,Afghanistan,South Asia,Low income,max,all,4.0617547,5.5824008,5.6620908,5.8577647,0.33637598,1.8844703,0.32997543,0.69249254,0.36087731,0.26032686,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
7,Afghanistan,South Asia,Low income,max,daughter,4.8542042,4.3317313,5.9155045,5.9026852,0.21610859,-0.15092935,0.17423947,0.77009141,0.24368155,0.21907011,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
8,Afghanistan,South Asia,Low income,max,son,3.8656235,5.8919411,5.5812869,5.8061409,0.36583033,2.3829544,0.36492074,0.67421401,0.39283764,0.2737433,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
9,Afghanistan,South Asia,Low income,mom,all,1.0611202,5.4427314,3.286447,5.8058333,0.44615513,4.4303899,0.43008479,0.91379309,0.76424068,0.49550951,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
10,Afghanistan,South Asia,Low income,mom,daughter,1.354021,4.3329616,3.5643578,5.8839722,0.3408632,3.0088809,0.30315918,0.87082821,0.78913045,0.5558008,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
11,Afghanistan,South Asia,Low income,mom,son,0.99480957,5.693975,3.2170758,5.7592707,0.47007632,4.7533412,0.45790163,0.92467898,0.75708932,0.47367322,0.444,0.18,0.514,0.952,0.132,Southern Asia,-2.5,80,340.0,13.0,24
12,Angola,Sub-Saharan Africa,Lower middle income,avg,all,5.409904,9.1551704,4.3398561,6.133954,0.54882681,4.0710273,0.39151812,0.69620258,0.727952,0.62408537,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
13,Angola,Sub-Saharan Africa,Lower middle income,avg,daughter,5.2784462,8.4065542,4.4607162,6.3934031,0.50385743,3.5211167,0.26860392,0.75322104,0.60995311,0.7899521,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
14,Angola,Sub-Saharan Africa,Lower middle income,avg,son,5.5552354,9.9827938,4.2074227,5.735074,0.59765041,4.6680689,0.52231234,0.60838926,0.82625252,0.47191802,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
15,Angola,Sub-Saharan Africa,Lower middle income,dad,all,6.8270173,9.1924791,5.2118077,6.1242375,0.53080142,3.2601509,0.43873984,0.6966188,0.61475664,0.63570923,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
16,Angola,Sub-Saharan Africa,Lower middle income,dad,daughter,6.5441074,8.4311419,5.2941828,6.4456644,0.47197133,2.711781,0.32959813,0.67871672,0.59071654,0.66903096,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
17,Angola,Sub-Saharan Africa,Lower middle income,dad,son,7.1388159,10.031558,5.1122818,5.6446042,0.59673089,3.8746967,0.5611549,0.72685081,0.63810402,0.60225958,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
18,Angola,Sub-Saharan Africa,Lower middle income,max,all,7.0911775,9.1551704,5.3321667,6.133954,0.50106752,3.0038908,0.39151812,0.65069342,0.60024619,0.61543131,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
19,Angola,Sub-Saharan Africa,Lower middle income,max,daughter,6.8525023,8.4065542,5.4826074,6.3934031,0.44161615,2.4321043,0.26860392,0.62136734,0.58268726,0.65674859,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
20,Angola,Sub-Saharan Africa,Lower middle income,max,son,7.355042,9.9827938,5.1601825,5.735074,0.56677318,3.6358297,0.52231234,0.70887947,0.61813313,0.57729024,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
21,Angola,Sub-Saharan Africa,Lower middle income,mom,all,3.9107363,9.1639757,4.2017536,5.9994226,0.62208933,5.5042052,0.58019996,0.70315403,0.84034151,0.68207246,0.657,0.646,0.759,0.976,0.245,Sub-Saharan Africa,-0.36,64,1073.0,44.0,27
