country,IQ,Average Income (USD),"Education expenditure
per inhabitant (USD)","Daily maximum
temperature Celsius"
Singapore,108,25561,908,32
Hong Kong,108,25419,915,26
Taiwan,106,,,27
South Korea,106,14174,537,18
Japan,105,37233,1258,20
China,104,1374,27,20
Switzerland,102,51175,2539,15
Netherlands,102,33731,1701,14
North Korea,102,,,15
Macao,101,20511,628,26
Iceland,101,34869,2443,8
Finland,101,31520,1990,8
Canada,101,27861,1661,7
Belgium,100,30650,1676,15
Germany,100,30846,1385,14
United Kingdom,100,31204,1455,13
Austria,100,32042,1764,13
New Zealand,100,18672,1283,17
Norway,99,48278,3527,9
Sweden,99,36645,2359,10
Luxembourg,99,53806,2310,15
Denmark,99,39017,3127,13
Czechia,99,9333,387,13
Estonia,99,9596,459,10
Australia,99,25705,1390,24
France,98,29520,1609,17
United States,98,36486,1904,19
Hungary,98,7386,392,17
Mongolia,98,897,50,8
Italy,97,25986,1175,18
Latvia,97,6985,335,11
Spain,97,19791,885,21
Poland,97,6128,298,13
Russia,96,4104,157,10
Croatia,95,8934,353,18
Ukraine,95,1460,85,14
Portugal,95,14222,725,21
Ireland,94,28450,1635,13
Vietnam,94,477,26,29
Israel,94,19448,1226,25
Belarus,93,2525,139,12
Malaysia,93,4556,273,32
Georgia,92,1313,38,20
Kazakhstan,92,2767,97,14
Greece,92,16865,541,22
Bulgaria,91,2800,114,18
North Macedonia,91,2567,118,18
Argentina,90,6344,278,24
Romania,90,3373,120,16
Turkey,89,4952,141,20
Thailand,89,2607,108,33
Serbia,89,3604,164,18
Chile,89,5620,210,18
Cambodia,88,428,7,33
Bermuda,88,63356,1552,25
Brunei,88,19766,840,32
Laos,88,420,11,32
Mauritius,87,4557,167,27
Costa Rica,86,3972,216,29
Philippines,86,1335,38,32
Mexico,86,6336,279,29
Iraq,86,1699,,32
Venezuela,85,4812,241,32
Bolivia,85,1021,67,27
Cuba,84,3257,312,30
Iran,84,2846,120,24
Montenegro,84,4527,,21
Albania,84,1690,55,21
Indonesia,84,1082,29,32
Egypt,83,1260,58,30
Ecuador,83,2342,68,24
Burma,83,176,3,32
Brazil,83,4341,223,31
United Arab Emirates,83,35275,378,34
Fiji,83,2696,151,30
Pakistan,82,591,16,31
Algeria,82,2324,109,25
Peru,82,2299,76,26
Colombia,82,2792,128,29
Morocco,82,1720,89,24
India,81,571,22,30
Saudi Arabia,81,10618,700,33
Yemen,81,597,56,32
Afghanistan,80,340,13,24
Sri Lanka,79,1024,30,30
El Salvador,79,1912,69,31
Qatar,78,48088,1574,34
Bangladesh,77,465,9,30
Nepal,77,276,10,25
Zambia,72,557,13,29
Zimbabwe,72,578,122,27
Kenya,71,468,33,28
Ivory Coast,71,796,53,32
South Africa,70,4339,247,25
Sudan,70,615,15,37
Nigeria,70,841,,34
Ghana,69,523,34,32
Chad,65,361,10,35
Cameroon,65,943,29,31
Angola,64,1073,44,27
Central Africa,64,360,6,33
Congo (Dem. Republic),63,217,3,30
Eritrea,63,351,13,29
Guinea-Bissau,62,316,13,33
Ethiopia,61,190,8,27
Senegal,60,887,37,35
Gambia,60,616,13,33
Timor-Leste,60,1604,30,31
Gabon,60,4862,192,30
Sao Tome and Principe,58,904,55,29
Equatorial Guinea,56,3369,158,30
