,mean,std,min,25%,50%,75%,max
Country,,,,,,,
Code,,,,,,,
Year,2004.9975558090273,8.943679377337824,1990.0,1997.0,2005.0,2013.0,2020.0
Indicator:Under-five mortality rate (per 1000 live births) (SDG 3.2.1) - Sex:Both sexes,4.738446484423964,5.195465206158199,0.175923,1.018727,2.547649,6.914538,34.116402
Indicator:Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),6.241939252336449,2.960440406088774,1.26,4.18,5.74,7.92,50.18
Popululation,93569.05605605606,283431.72315876227,5.0,595.0,6202.5,50406.0,3255975.0
Meningitis,1779.798717948718,7016.481482336778,0.0,13.0,97.0,772.25,98358.0
Alzheimer's Disease and Other Dementias,4263.226190476191,17318.246672654863,0.0,85.0,622.5,2194.25,320715.0
Parkinson's Disease,1056.0331501831502,4560.995014395529,0.0,26.0,155.0,541.25,76990.0
Nutritional Deficiencies,2205.6652014652013,10639.59022645352,0.0,8.0,106.0,1175.5,268223.0
Malaria,3845.7772893772894,18279.44510718215,0.0,0.0,0.0,465.25,280604.0
Drowning,1673.8677655677657,9327.790009128215,0.0,30.0,160.0,620.25,153773.0
Interpersonal Violence,1869.0553113553115,6486.6540396152395,0.0,37.0,228.5,794.25,69640.0
Maternal Disorders,1299.828021978022,6370.3259189689525,0.0,5.0,46.0,749.0,107929.0
HIV/AIDS,5618.1710622710625,20999.973612254234,0.0,9.0,122.0,1819.0,305491.0
Drug Use Disorders,257.0785714285714,1836.6991944772499,0.0,3.0,17.0,116.0,38868.0
Tuberculosis,7610.32032967033,41651.68429827836,0.0,31.0,354.0,2602.0,657515.0
Cardiovascular Diseases,65714.70036630037,291422.4140309673,4.0,1956.25,10896.0,37604.25,4584273.0
Lower Respiratory Infections,13420.61684981685,50328.22341647614,0.0,290.5,1942.0,9253.25,690913.0
Neonatal Disorders,12934.74304029304,59153.57215440961,0.0,115.0,803.0,7016.75,852761.0
Alcohol Use Disorders,575.3659340659341,2127.4973874717602,0.0,9.0,73.0,287.25,23261.0
Self-harm,3542.147252747253,18818.260841459258,0.0,96.75,502.5,1628.0,220357.0
Exposure to Forces of Nature,246.12454212454213,4933.865005688747,0.0,0.0,0.0,9.0,222641.0
Diarrheal Diseases,11489.53315018315,69079.94720986857,0.0,16.0,259.5,4229.75,1119477.0
Environmental Heat and Cold Exposure,205.6478021978022,1028.535488851506,0.0,2.0,19.0,99.0,13571.0
Neoplasms,34016.98644688645,163436.79344773488,1.0,779.75,5163.5,16924.0,2716551.0
Conflict and Terrorism,492.52967032967035,7177.224729297298,0.0,0.0,0.0,18.0,503532.0
Diabetes Mellitus,4864.446153846154,17036.352982564706,1.0,230.5,1002.0,2565.25,273089.0
Chronic Kidney Disease,4504.404395604395,16657.41862409576,0.0,139.0,745.0,2377.25,222922.0
Poisonings,377.02032967032966,2004.7002124259304,0.0,6.0,42.0,222.0,30883.0
Protein-Energy Malnutrition,1902.3054945054946,8153.261451137766,0.0,4.0,76.0,1084.25,202241.0
Road Injuries,5540.6287545787545,25079.231913834377,0.0,172.0,854.5,2784.25,329237.0
Chronic Respiratory Diseases,17038.026007326007,110627.51509181634,1.0,251.75,1479.0,4483.5,1366039.0
Cirrhosis and Other Chronic Liver Diseases,5880.394688644688,21397.214940342878,0.0,145.0,1072.0,3128.75,270037.0
Digestive Diseases,10192.915384615384,38344.6408975586,0.0,258.5,1965.5,5423.0,464914.0
"Fire, Heat, and Hot Substances",527.8556776556777,2082.410370317868,0.0,16.0,108.0,420.0,25876.0
Acute Hepatitis,665.0498168498168,4427.154538652718,0.0,2.0,13.0,149.0,64305.0
Total economic damages from disasters as a share of GDP,1.1744472400540824,10.363799076725488,0.0,0.0,0.0,0.1072758685914543,280.08777681610246
Death rates from disasters,1.9641436248365927,42.77376968514006,0.0,0.00144166952683645,0.062023001403330794,0.2726368259477531,2237.822896773545
Injury rates from disasters,5.347240561076516,135.00403499501516,0.0,0.0,0.0,0.11233171882155397,6516.094700260643
"Number of people affected by disasters per 100,000",3052.2816847313593,9490.285215094143,0.0,1.4505496870611503,104.46862913119952,1180.5937826655693,105172.41379310343
Adjusted savings: education expenditure (% of GNI),4.099829977756225,2.5471596841802446,0.3,2.66,3.825295407300485,5.040560790246125,68.15293
Adjusted savings: mineral depletion (% of GNI),0.5448808635179203,1.898610376344793,-4.01017405031353e-05,0.0,0.0004487558395363,0.1377602110402525,20.5386999272812
"Adolescent fertility rate (births per 1,000 women ages 15-19)",60.97213036453202,47.64208495122763,2.6438,20.886400000000002,50.279,87.8534,223.6904
Age dependency ratio (% of working-age population),64.79496678322944,19.366022548238035,15.743088125080302,49.4007484767039,58.6780901091417,81.11873867460557,117.884616350734
"Age dependency ratio, old (% of working-age population)",11.448182530305932,7.40340447925382,0.7957365959556422,6.015441429059219,8.082815673083779,16.35439680653555,47.1217280690744
"Age dependency ratio, young (% of working-age population)",53.346784252923506,24.04313251431451,14.9160075169874,31.123038428157898,48.66371224468289,74.91642206284999,112.372336935781
Agricultural land (% of land area),37.98386342803551,22.4290101874299,0.4487179487179489,18.96085066145045,38.8473261291216,55.72867945536626,85.4873728716718
Agricultural land (sq. km),219592.74820307878,609595.0228499485,3.00000011920929,1628.00003051758,28040.0,153700.0,5278330.0
Arable land (% of land area),13.910951538756906,13.514017694910862,0.0014632718759145,2.917155081922613,10.21570040198215,20.0244140625,72.64346623646
"Birth rate, crude (per 1,000 people)",23.654329776490105,11.573222966124149,5.9,13.29175,21.4,32.86275,55.485
Capture fisheries production (metric tons),411315.59557455464,1415901.9053773058,0.0,3306.0,26626.135000000002,193783.0,17900000.0
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",16.99853550214704,19.398416711186478,0.0010000000474974,1.61700001358986,8.10199975967407,28.74250078201295,89.7519989013672
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",8.135789214485078,9.64124659682192,0.0,0.6857499927282338,4.225999832153319,12.3380002975464,54.61299896240229
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",11.547598825895761,13.155827921273918,0.0,1.09599995613098,6.06849980354309,18.12124967575075,57.5530014038086
"Death rate, crude (per 1,000 people)",8.732385223279497,3.856360789427933,1.127,6.15025,7.862499999999999,10.45375,41.359
"Employers, female (% of female employment) (modeled ILO estimate)",1.729014901305348,1.39503218114864,0.0080000003799796,0.6819999814033512,1.4424999952316249,2.48200011253357,10.8229999542236
"Employers, male (% of male employment) (modeled ILO estimate)",4.272551960611497,3.0890791360150436,0.0099999997764825,1.66274997591972,3.93049991130829,6.143750071525575,20.8649997711182
"Employers, total (% of total employment) (modeled ILO estimate)",3.2965686260802927,2.441184355004645,0.0099999997764825,1.2924999892711626,3.06900000572205,4.720249891281128,17.881000518798803
Employment in agriculture (% of total employment) (modeled ILO estimate),29.307227835674205,23.946710838962137,0.0590000003576279,7.6627500057220495,23.407000541686998,45.809000968933105,92.3030014038086
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",28.462039215472327,27.843227359799933,0.0080000003799796,4.030250072479245,17.03700065612795,50.7462511062622,96.76699829101558
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",29.922533742836585,22.539200862501218,0.090999998152256,9.325000047683716,25.92199993133545,46.17674922943113,92.3509979248047
Employment in industry (% of total employment) (modeled ILO estimate),20.093964892929677,8.808156411097318,1.42999994754791,13.996000051498424,20.247499465942404,25.761499881744378,59.5750007629395
"Employment in industry, female (% of female employment) (modeled ILO estimate)",12.985714699509098,8.766819269519802,0.275999993085861,7.218749880790713,11.2465000152588,16.926499366760225,63.146999359130895
"Employment in industry, male (% of male employment) (modeled ILO estimate)",24.782030780549142,10.733422898898962,2.0929999351501496,16.299000263214126,24.8354997634888,32.564249038696296,67.4039993286133
Employment in services (% of total employment) (modeled ILO estimate),50.59880492593728,18.51944314112576,5.36199998855591,36.9119987487793,52.28950119018555,65.1525020599365,87.8479995727539
"Employment in services, female (% of female employment) (modeled ILO estimate)",58.552242553841836,25.887964284775574,1.60500001907349,37.24600028991697,62.91050148010255,82.03399658203129,98.6699981689453
"Employment in services, male (% of male employment) (modeled ILO estimate)",45.295445494558294,14.992490817300956,5.5560002326965305,35.313249588012695,45.594499588012695,56.017249107360826,84.5640029907227
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",46.05275154328814,16.177932145460275,4.2960000038147,35.80975055694577,46.1284999847412,56.3512487411499,89.1760025024414
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",68.3638205763873,10.510638518777515,40.5410003662109,61.3680000305176,68.47299957275389,76.1372509002686,96.1399993896484
